iata,state,faa_region,name,hub_size,enplanements,prior_enplanements,yoy,year
SLE,OR,NM,Salem McNary Field,Non-hub,28119,6993,3.021,2024
CYS,WY,NM,Cheyenne Cheyenne Regional/Jerry Olson Field,Non-hub,27602,13132,1.1019,2024
HOM,AK,AL,Homer Homer,Non-hub,27482,34682,-0.2076,2024
CIU,MI,GL,Sault Ste. Marie Chippewa County International,Non-hub,26482,22166,0.1947,2024
HOB,NM,SW,Hobbs Lea County Regional,Non-hub,26212,22187,0.1814,2024
DIK,ND,GL,Dickinson Dickinson/Theodore Roosevelt Regional,Non-hub,26146,24123,0.0839,2024
CMX,MI,GL,Hancock Houghton County Memorial,Non-hub,25833,23355,0.1061,2024
HYA,MA,NE,Hyannis Cape Cod Gateway,Non-hub,25626,17472,0.4667,2024
PRC,AZ,WP,Prescott Prescott Regional/Ernest A Love Field,Non-hub,25316,24583,0.0298,2024
PSG,AK,AL,Petersburg Petersburg James A Johnson,Non-hub,25209,24921,0.0116,2024
LNY,HI,WP,Lanai City Lanai,Non-hub,25186,34430,-0.2685,2024
RHI,WI,GL,Rhinelander Rhinelander/Oneida County,Non-hub,24826,20991,0.1827,2024
FLO,SC,SO,Florence Florence Regional,Non-hub,24728,22734,0.0877,2024
PIH,ID,NM,Arbon Valley Pocatello Regional,Non-hub,24610,17504,0.406,2024
BGM,NY,EA,Binghamton Greater Binghamton/Edwin A Link Field,Non-hub,24496,36647,-0.3316,2024
LAL,FL,SO,Lakeland Lakeland Linder International,Non-hub,24185,224,106.9688,2024
STC,MN,GL,St. Cloud St. Cloud Regional,Non-hub,23885,19556,0.2214,2024
ABR,SD,GL,Aberdeen Aberdeen Regional,Non-hub,23705,22112,0.072,2024
SLN,KS,CE,Salina Salina Regional,Non-hub,23456,15080,0.5554,2024
ART,NY,EA,Watertown Watertown International,Non-hub,23188,21524,0.0773,2024
DUT,AK,AL,Unalaska Unalaska,Non-hub,22712,19201,0.1829,2024
PGA,AZ,WP,Page Page Municipal,Non-hub,22400,15974,0.4023,2024
EAU,WI,GL,Eau Claire Chippewa Valley Regional,Non-hub,22289,25856,-0.138,2024
PQI,ME,NE,Presque Isle Presque Isle International,Non-hub,21633,19269,0.1227,2024
RIW,WY,NM,Riverton Central Wyoming Regional,Non-hub,21624,15350,0.4087,2024
RKS,WY,NM,Rock Springs Southwest Wyoming Regional,Non-hub,21541,16158,0.3331,2024
OTH,OR,NM,North Bend Southwest Oregon Regional,Non-hub,20495,19590,0.0462,2024
SBD,CA,WP,San Bernardino San Bernardino International,Non-hub,20147,27349,-0.2633,2024
RVR,PR,SO,Ceiba Jose Aponte De La Torre,Non-hub,19681,19786,-0.0053,2024
IMT,MI,GL,Iron Mountain Ford,Non-hub,19483,17966,0.0844,2024
LAR,WY,NM,Laramie Laramie Regional,Non-hub,19061,18094,0.0534,2024
CDV,AK,AL,Cordova Merle K (Mudhole) Smith,Non-hub,18641,18244,0.0218,2024
JLN,MO,CE,Joplin Joplin Regional,Non-hub,18362,14420,0.2734,2024
JST,PA,EA,Johnstown John Murtha Johnstown/Cambria County,Non-hub,17690,14253,0.2411,2024
CRQ,CA,WP,Carlsbad McClellan-Palomar,Non-hub,17434,4329,3.0273,2024
ESC,MI,GL,Escanaba Delta County,Non-hub,17120,15659,0.0933,2024
MCN,GA,SO,Macon Middle Georgia Regional,Non-hub,17020,15832,0.075,2024
MEI,MS,SO,Meridian Key Field,Non-hub,17003,15513,0.096,2024
SIG,PR,SO,San Juan Fernando Luis Ribas Dominicci,Non-hub,16844,13447,0.2526,2024
LBF,NE,CE,North Platte North Platte Regional/Lee Bird Field,Non-hub,16537,14371,0.1507,2024
BRD,MN,GL,Brainerd Brainerd Lakes Regional,Non-hub,16255,16218,0.0023,2024
AKW,AK,AL,Klawock Klawock,Non-hub,16224,16733,-0.0304,2024
TUP,MS,SO,Tupelo Tupelo Regional,Non-hub,16194,13526,0.1972,2024
BTM,MT,NM,Butte Bert Mooney,Non-hub,15773,16033,-0.0162,2024
OGD,UT,NM,Ogden Ogden-Hinckley,Non-hub,15582,215,71.4744,2024
PIB,MS,SO,Moselle Hattiesburg/Laurel Regional,Non-hub,15575,13002,0.1979,2024
HYS,KS,CE,Hays Hays Regional,Non-hub,15002,10038,0.4945,2024
PIR,SD,GL,Pierre Pierre Regional,Non-hub,14887,15885,-0.0628,2024
INL,MN,GL,International Falls Falls International/Einarson Field,Non-hub,14842,13277,0.1179,2024
CPX,PR,SO,Culebra Benjamin Rivera Noriega,Non-hub,14663,18922,-0.2251,2024
WRG,AK,AL,Wrangell Wrangell,Non-hub,14560,14323,0.0165,2024
ATY,SD,GL,Watertown Watertown Regional,Non-hub,14134,15532,-0.09,2024
EAR,NE,CE,Kearney Kearney Regional,Non-hub,14130,14684,-0.0377,2024
VCT,TX,SW,Victoria Victoria Regional,Non-hub,14006,11293,0.2402,2024
BFF,NE,CE,Scottsbluff Scottsbluff/Western Nebraska Regional/Wm B Heilig Field,Non-hub,13841,12052,0.1484,2024
MWA,IL,GL,Marion Veterans Airport of Southern Illinois,Non-hub,13816,10558,0.3086,2024
SMX,CA,WP,Santa Maria Santa Maria Public/Capt G Allan Hancock Field,Non-hub,13525,14409,-0.0614,2024
PAH,KY,SO,Paducah Barkley Regional,Non-hub,13456,13057,0.0306,2024
RKD,ME,NE,Rockland Knox County Regional,Non-hub,13309,7047,0.8886,2024
FHR,WA,NM,Friday Harbor Friday Harbor,Non-hub,12898,12709,0.0149,2024
EKO,NV,WP,Elko Elko Regional,Non-hub,12881,10723,0.2012,2024
DEC,IL,GL,Decatur Decatur,Non-hub,12747,11216,0.1365,2024
WST,RI,NE,Westerly Westerly State,Non-hub,12320,12328,-0.0006,2024
ALS,CO,NM,Alamosa San Luis Valley Regional/Bergman Field,Non-hub,12232,11319,0.0807,2024
CVN,NM,SW,Clovis Clovis Regional,Non-hub,12033,13623,-0.1167,2024
ALO,IA,CE,Waterloo Waterloo Regional,Non-hub,12006,12885,-0.0682,2024
YAK,AK,AL,Yakutat Yakutat,Non-hub,11923,12105,-0.015,2024
BID,RI,NE,Block Island Block Island State,Non-hub,11867,15194,-0.219,2024
CDC,UT,NM,Cedar City Cedar City Regional,Non-hub,11855,11768,0.0074,2024
GAL,AK,AL,Galena Edward G Pitka Sr,Non-hub,11852,11758,0.008,2024
HIB,MN,GL,Hibbing Range Regional,Non-hub,11294,11775,-0.0408,2024
TBN,MO,CE,Fort Leonard Wood (U.S. Army) Waynesville-St Robert Regional Forney Field,Non-hub,11276,11853,-0.0487,2024
APN,MI,GL,Alpena Alpena County Regional,Non-hub,11150,8034,0.3879,2024
BHB,ME,NE,Bar Harbor Hancock County/Bar Harbor,Non-hub,11042,10478,0.0538,2024
LEB,NH,NE,Lebanon Lebanon Municipal,Non-hub,10934,10863,0.0065,2024
TEX,CO,NM,Telluride Telluride Regional,Non-hub,10721,10826,-0.0097,2024
GRO,MP,WP,Northern Islands (Municipality) Benjamin Taisacan Manglona International,Non-hub,10717,11136,-0.0376,2024
CNY,UT,NM,Moab Canyonlands Regional,Non-hub,10625,19310,-0.4498,2024
VEL,UT,NM,Vernal Vernal Regional,Non-hub,10578,13952,-0.2418,2024
FXE,FL,SO,Fort Lauderdale Fort Lauderdale Exec,Non-hub,10493,10625,-0.0124,2024
BIH,CA,WP,Bishop Bishop,Non-hub,10119,10007,0.0112,2024
GST,AK,AL,Gustavus Gustavus,Non-hub,10074,9584,0.0511,2024
YNG,OH,GL,Youngstown Youngstown/Warren Regional,Non-hub,523,730,-0.2836,2024
